"고유번호","언어","상호명","주소","신주소","전화번호","팩스번호","웹사이트","운영시간","운영요일","휴무일","교통정보","태그","장애인편의시설"
"811","zh-CN","国立中央博物馆","140-797 首尔市龙山区龙山洞6街 168-6 ","04383 首尔市龙山区西冰库路137 ","+82-2-2077-9000","","http://www.museum.go.kr","周一、周二、周四、周五、周日 10:00 ~ 18:00 周三、周六 10:00 ~ 21:00 ","","每逢1月1日，春节1月25日及中秋节10月1日（2020年基准）","4号线中央线 二村站2号出口出来后，向龙山家族公园方向步行150米   ","展览馆梨泰院文化传统文化博物馆国立中央博物馆","无障碍坡道残疾人专用停车场残疾人指南(轮椅租借及其他)残疾人洗手间电梯"
"20619","zh-CN","国立古宫博物馆","110-820 首尔钟路区世宗路 1-57 ","03045 首尔钟路区孝子路 12 (世宗路国立古宫博物馆) ","+82-2-3701-7500","","http://www.gogung.go.kr/main.do"," 10:00~18:00 (周三·周六 10:00~21:00)","","全年无休","3号线 景福宫站5号出口","国立古宫博物馆景福宫站首尔旅游博物馆旅游景点遗产展示","无障碍坡道残疾人专用停车场残疾人指南(轮椅租借及其他)残疾人洗手间"
"20618","ja","国立古宮博物館","110-820 ソウル市鐘路区世宗路 1-57","03045 ソウル市チョンノ(鐘路)区ヒョジャロ12 (世宗路)国立古宮博物館","+82-2-3701-7500","","http://www.gogung.go.kr/main.do","10:00-18:00 水曜日及び土曜日は21:00まで開館 ※入館は閉館時間の1時間前まで","","年中無休","地下鉄3号線｢キョンボックン(政府ソウル庁舎)｣駅5番出口","国立古宮博物館景福宮古宮文化財朝鮮王朝時代観光スポット遺物ソウル観光博物館","アクセシビリティバリアフリートイレ体の不自由な方のための専用駐車場体の不自由な方のための案内所(車椅子レンタルなど)"
"35555","zh-TW","國立韓古爾博物館"," 首爾市龍山區龍山洞6街168-6 ","04383 首爾市龍山區西冰庫路139(龍山洞6街) 首爾特別市龍山區西冰庫路139","+82-2-2124-6200","","https://www.hangeul.go.kr/lang/ch/","週一～週日","10:00 - 18:00","1月1日春節當日中秋當日 *韓文圖書館公休日：週六、週日、公休日(韓文日除外)","4號線京義中央線 二村站2號出口","韓文訓民正音國立韓古爾博物館韓文博物館世宗大王","殘疾人士服務台(租借輪椅等)無障礙停車場無障礙坡道無障礙廁所電梯"
"1644","zh-CN","国立民俗博物馆","110-050 首尔市钟路区世宗路 1-1","110-050 首尔市钟路区三清路37 ","+82-2-3704-3114","+82-2-3704-3113","https://www.nfm.go.kr/home/subIndex/201.do","3 ~5月 09:00 ~ 18:00 入场截止至17:00 6~8月 09:00~18:30  入场截止至17:00，周六 ·周日 · 公休日 09:00~19:00 (入场截止至18:00) 9-10月 9:00 ~ 18:00 (入场截止至17:00) 11-2月 9:00 ~ 17:00 (入场截止至16:00) ※ 每月最后一周周三（文化日)·周五·周六 9:00~21:00(入场截止至20:00)","星期一~星期天 ","年中无休","3号线 景福宫站5号出口出来，徒步约15分钟  3号线 安国站1号出口出来，徒步约15分钟  5号线 光化门站2号出口出来，徒步约15分钟 ","韩国传统文化光华门国立民俗博物馆景福宫博物馆文化","无障碍坡道残疾人专用停车场残疾人指南(轮椅租借及其他)残疾人洗手间"
"40772","zh-CN","国立气象博物馆","  ","03178 首尔特别市  钟路区  松月街 52 ","+82-70-7850-8493 ","","https://science.kma.go.kr/museum","10:00 - 18:00","周二 - 周日","每周一，1月1日，春节及中秋当天 ","5号线 西大门站 4号出口","测雨器樱花历史最悠久的测雨台测雨台枫叶庆熙宫国立气象博物馆汉阳都城天气百年观测所首尔气象观测所","无障碍坡道残疾人专用停车场残疾人指南(轮椅租借及其他)残疾人洗手间"
"40771","ja","国立気象博物館","  ","03178 ソウル特別市チョンノ(鐘路)区ソンウォルギル52 ","+82-70-7850-8493 ","","https://science.kma.go.kr/museum","10:00~18:00","火曜日～日曜日","毎週月曜日、1月1日、旧正月及び秋夕(旧暦8月15日)当日","地下鉄5号線「ソデムン」駅4番出口","キョンヒグン天気ソウル気象観測所測雨器慶熙宮100年観測所最も古い測雨器桜紅葉国立気象博物館ハニャン都城測雨台","アクセシビリティバリアフリートイレ体の不自由な方のための専用駐車場体の不自由な方のための案内所(車椅子レンタルなど)"
"11660","zh-CN","国立现代美术馆首尔馆"," 首尔市钟路区三清路30号 "," 首尔市钟路区昭格洞165 ","","","http://www.mmca.go.kr/chn/?menuId=1000000000","周一、二、四、五、日: 10:00 ~ 18:00 周三、六 : 10:00  ~ 21:00（晚间 18:00~21:00 夜间开放）","周一~周日","定期休馆: 1月1日、春节、中秋节","3号线 安国站1号出口朝北村方向步行8分钟  ","现代美术美术馆展览艺术光华门国立现代美术馆首尔馆","无障碍坡道残疾人专用停车场残疾人指南(轮椅租借及其他)残疾人洗手间电梯"
"11661","ja","国立現代美術館ソウル館","110-200 ソウル市鐘路区昭格洞165 ","110-200 ソウル市チョンノ(鐘路)区サムチョンロ30 (昭格洞)","","","http://www.mmca.go.kr/","月曜日、火曜日、木曜日、金曜日、日曜日 10:00~18:00 水曜日、土曜日 10:00~21:00 * 18:00~21:00 夜間開場 * 発券時間:観覧終了1時間前まで可能","月曜日~日曜日","1月1日、旧正月及び秋夕(旧暦8月15日)","3号線「アングク」駅1番出口からプクチョンロ(北村路)方面、またはサムチョンロ(三清路)民俗博物館方面","美術館昭格洞光化門ソウル国立美術館アングク駅国立現代美術館ソウル館三清洞芸術・アート複合文化芸術センター","アクセシビリティエレベーターバリアフリートイレ体の不自由な方のための専用駐車場体の不自由な方のための案内所(車椅子レンタルなど)"
"35541","zh-CN","国立韩古尔博物馆","  ","04383 首尔特别市龙山区西冰库路139，国立韩古尔博物馆 ","+82-2-2124-6200","","https://www.hangeul.go.kr/lang/ch/","周一 - 周日","10:00 - 18:00","1月1日 春节当天 中秋节当天 * 韩文图书馆休馆日:周六、周日、公休日（韩文日除外）","4号线 京义中央线 二村站 2号出口","国立韩古尔博物馆韩文训民正音韩文博物馆世宗大王","无障碍坡道残疾人专用停车场残疾人指南(轮椅租借及其他)残疾人洗手间电梯"
"20607","zh-CN","国立韩文博物馆","140-026 首尔龙山区龙山洞6街 168-6 ","04383 首尔龙山区西冰库路 139 (龙山洞6街韩文博物馆) ","+82-02-2124-6200","","http://www.hangeul.go.kr/main.do","10:00~18:00 (周一~周五周日公休日) 10:00~21:00 (周六每月最后一周的周三) ※请在结束前30分钟入场","","元旦春节当天中秋节当天","4号线二村站2号出口 京义中央线二村站 2号出口 京义中央线西冰库站 1号出口","韩语西冰库站韩文国立韩文博物馆二村站博物馆展示观光地观览","无障碍坡道残疾人专用停车场残疾人指南(轮椅租借及其他)残疾人洗手间电梯"
"5767","zh-TW","國會議事堂","150-701 首爾市永登浦區汝矣島洞1 ","150-701 首爾市永登浦區議事堂大路1 ","+82-2-788-2114","+82-2-788-3664","http://www.assembly.go.kr","09:00~18:00  週六、日 09:00~17:00","週一~週日","每月第2個、第4個星期日、國定假期、國會建館紀念日(5月31日)","地鐵9號線國會議事堂站1、6號出口  ","國會議事堂站國會議事堂國會圖書館汝矣島歷史國會議員會館","殘疾人士服務台(租借輪椅等)無障礙停車場無障礙坡道無障礙廁所電梯"
"819","zh-TW","國立中央博物館","140-797 首爾市龍山區龍山洞6街 168-6 ","04383 首爾市龍山區西冰庫路137 ","+82-2-2077-9000","","http://www.museum.go.kr","週一、週二、週四、週五、週日 10:00 ~ 18:00 週三、週六 10:00 ~ 21:00","週一~週日","元旦、春節、中秋節","中央線、4號線二村站2號出口出來，往龍山家庭公園方向約150公尺","紀念館國立中央博物館博物館龍山區二村傳統","殘疾人士服務台(租借輪椅等)無障礙停車場無障礙坡道無障礙廁所電梯"
"20603","zh-TW","國立古宮博物館","110-820 首爾市鍾路區世宗路1-57 ","03045 首爾市鍾路區孝子路12(世宗路) ","+82-2-3701-7500","","http://www.gogung.go.kr/fore/main.do?pLng=cn","10:00~18:00  ※ 週三、週六開放至21:00 ※ 閉館前1小時截止入場","週一~週日","元旦、春節、中秋","3號線景福宮站5號出口","文化財景福宮站首爾觀光國立古宮博物館觀光景點博物館文物展覽","殘疾人士服務台(租借輪椅等)無障礙停車場無障礙坡道無障礙廁所"
"1648","zh-TW","國立民俗博物館","110-050 首爾市鍾路區世宗路 1-1","110-050 首爾市鍾路區三清路37 ","+82-2-3704-3114","+82-2-3704-3113","https://www.nfm.go.kr/home/index.do","3~10月 09:00 ~ 18:00 (最後入場17:00) 11~2月 9:00 ~ 17:00 (最後入場16:00)   ※ 6~ 8月週六、週日、國定假日 09:00~19:00 (最後入場18:00)  ","","元旦、春節、中秋","3號線景福宮站5號出口步行5分鐘  3號線安國站1號出口步行15分鐘  5號線光化門站2號出口步行15分鐘 ","傳統博物館國立民俗博物館景福宮紀念館","殘疾人士服務台(租借輪椅等)無障礙停車場無障礙坡道無障礙廁所"
"40773","zh-TW","國立氣象博物館","  ","03178 首爾市鐘路區松月路52 ","+82-70-7850-8493 ","","https://science.kma.go.kr/museum","10:00 -18:00","週二-週日","每週一1月1日春節與中秋當日","5號線 西大門站 4號出口","百年觀測所國立氣象博物館天氣歷史最悠久的測雨台楓葉漢陽都城櫻花測雨台測雨器慶熙宮首爾氣象觀測所","殘疾人士服務台(租借輪椅等)無障礙停車場無障礙坡道無障礙廁所"
"20606","zh-TW","國立韓文博物館(國立韓古爾博物館)","140-026 首爾市龍山區龍山洞6街168-6 ","04383 首爾市龍山區西冰庫路139 (龍山洞6街) ","+82-2-2124-6200","","http://www.hangeul.go.kr/lang/ch/","10:00~18:00 (週一~週五、週日、國定假日) 10:00~21:00 (週六、每月最後一週週三) ※最後入場時間為閉館前30分鐘","","元旦、春節與中秋節當天","京義中央線、4號線二村站2號出口 京義中央線西冰庫站1號出口","西冰庫站韓文遊樂場韓文博物館國立韓文博物館展覽觀光景點訓民正音二村站","殘疾人士服務台(租借輪椅等)無障礙停車場無障礙坡道無障礙廁所電梯"
"22052","zh-TW","夢村歷史館","138-749 首爾市松坡區芳荑洞88-3 ","05540 首爾市松坡區奧林匹克路424 (夢村歷史館) ","+82-2-2152-5900","+82-2-424-4205","http://baekjemuseum.seoul.go.kr/dreamvillage/","09:00~18:00","週二~週日","週一、元旦","5號線奧林匹克公園站3號出口    8號線夢村土城站1號出口","展覽百濟遺跡夢村歷史館歷史文化體驗歷史奧林匹克公園文物風納土城博物館夢村土城","無障礙坡道無障礙廁所"
"6669","ja","大韓民国歴史博物館"," ソウル市鐘路区世宗路82-1 "," ソウル市チョンノ(鐘路)区セジョンデロ198 (世宗路)","+82-2-3703-9200","+82-2-3703-9216","http://www.much.go.kr/ja/mainja.do","月曜日 | 火曜日 | 木曜日 | 金曜日 | 日曜日 10:00-18:00 水曜日 | 土曜日 10:00-21:00","毎日","1月1日、旧正月、秋夕","地下鉄3号線「キョンボックン」駅6番出口 地下鉄5号線「クァンファムン」駅2番出口 地下鉄1号線「チョンガク」駅1番、2番出口","大韓民国歴史博物館歴史展望台光化門博物館・記念館歴史博物館夜景","アクセシビリティエレベーターバリアフリートイレ体の不自由な方のための専用駐車場体の不自由な方のための案内所(車椅子レンタルなど)"
"6671","zh-TW","大韓民國歷史博物館"," 首爾市鍾路區世宗路82-1 "," 首爾市鍾路區世宗大路198 ","+82-2-3703-9200","+82-2-3703-9216","http://www.much.go.kr/zh/mainzh.do","* 週一、二、四、五、日10:00~18:00 * 週三、六 10:00~21:00 * 閉館前一小時截止入場","週一至週日","元旦、春節、中秋節","3號線景福宮站6號出口 5號線光化門站2號出口 1號線鐘閣站1、2號出口","光化門景福宮站夜景獨立宣言博物館歷史文化歷史博物館光化門站大韓民國歷史博物館鐘閣站展覽紀念館","殘疾人士服務台(租借輪椅等)無障礙停車場無障礙坡道無障礙廁所電梯"
"6670","zh-CN","大韩民国历史博物馆"," 首尔市钟路区世宗路82-1 "," 首尔市钟路区世宗大路198 ","+82-2-3703-9200","+82-2-3703-9216","http://www.much.go.kr/zh/mainzh.do","周一，周二，周四，周五，周日：10:00 - 18:00 / 周三，周六：10:00 - 21:00","每日","1月1日，元旦，中秋","3号线 景福宫站6号出口 5号线 光化门站2号出口 1号线 钟阁站1 2号出口","光华门大韩民国历史博物馆博物馆历史钟阁展览夜景文化历史展望台","无障碍坡道残疾人专用停车场残疾人指南(轮椅租借及其他)残疾人洗手间电梯"
"783","zh-CN","奉恩寺","135-870 首尔市江南区奉恩寺路531  ","06087 首尔市江南区奉恩寺路531  ","+82-2-3218-4800","+82-2-544-2141","http://www.bongeunsa.org/","受法会、祷告、参佛等寺院活动日程安排的影响，开放时间可能会有变化。 ","","","7号线 清潭站2号出口出来后，向京畿高中方向150米    2号线 三成站6号出口出来后，向亚欧会议塔方向100米    ","寺庙江南奉恩寺莲花灯会奉恩寺站COEX宗教佛教","残疾人专用停车场残疾人指南(轮椅租借及其他)残疾人洗手间"
"787","zh-TW","奉恩寺","135-870 首爾市江南區奉恩寺路531  ","06087 首爾市江南區奉恩寺路531  ","+82-2-3218-4800","+82-2-544-2141","http://www.bongeunsa.org/","隨著法會、參佛等寺廟活動會有所變動","","","7號線清潭站2號出口出來，往京畿高中方向步行150公尺    2號線三成站6號出口出來，往ASEM Tower方向步行100公尺    ","三成站奉恩寺寺廟寄宿江南宗教聖地佛教COEX","殘疾人士服務台(租借輪椅等)無障礙停車場無障礙廁所"
"833","zh-CN","宗庙","110-400 首尔锺路区锺路 157 ","03135 首尔市钟路区钟路157 ","+82-2-765-0195","","http://jm.cha.go.kr/agapp/main/index.do?siteCd=JM","2至5月、9~10月：09:00~18:00 (17:00截止入场) 6至8月：09:00~18:30 (17:30截止入场) 11至1月：09:00~17:30 (16:30截止入场) (※ 请参考官网)","","周二","135号线 钟路3街站11号出口出来后，步行5分钟 ","昌德宫昌庆宫宗庙光华门宗庙祭礼乐钟路三街站","无障碍坡道残疾人指南(轮椅租借及其他)残疾人洗手间"
"839","zh-TW","宗廟","110-400 首爾特別市鍾路區鍾路 157 ","03135 首爾市鍾路區鍾路157 ","+82-2-765-0195","","http://jm.cha.go.kr","2至5月、9~10月：09:00~18:00 (17:00截止入場) 6至8月：09:00~18:30 (17:30截止入場) 11至1月：09:00~17:30 (16:30截止入場) (※ 請參考官網)","","週二","1號線鍾路3街站11號出口步行約5分鐘   3、5號線鍾路3街站8號出口步行5分鐘 ","古蹟探訪世界文化遺產宗廟昌慶宮宗廟社稷昌德宮傳統光化門","殘疾人士服務台(租借輪椅等)無障礙坡道無障礙廁所"
"1416","zh-CN","宣靖陵","135-090 首尔市江南区三成洞 133-2","135-090 首尔市江南区宣陵路100街1 ","+82-2-568-1291","+82-2-568-0773","http://royaltombs.cha.go.kr/html/HtmlPage.do?pg=/new/html/portal_01_08_01.jsp&mn=RT_01_08","03-10月 06:00~21:00 (售票 20:00) 11-01月 06:30~17:30 (售票 16:30) 02月 06:00~18:00 (售票 17:00) ※ 入场截止至20:00夜间仅开放部分区间","星期二 ~星期天","每周一","2号线盆唐线宣靖陵站10号出口  9号线 宣靖陵站3号出口","宣陵站王陵公园宣靖陵三成洞宣陵遗迹江南","无障碍坡道残疾人专用停车场残疾人指南(轮椅租借及其他)残疾人洗手间"
"1417","zh-TW","宣靖陵 ","135-090 首爾江南區三星洞 133-2","135-090 首爾市江南區宣陵路100街1 ","+82-2-568-1291","+82-2-568-0773","http://royaltombs.cha.go.kr/html/HtmlPage.do?pg=/new/html/portal_01_08_01.jsp&mn=RT_01_08","3月~10月 06:00~21:00  11月~1月 06:30~17:30  2月 06:00~18:00 ※ 最後入場時間為閉園前1小時 ※ 3~10月夜間僅設有照明部分區域開放參觀","週二~週日","週一","盆堂線、2號線宣陵站10號出口 盆堂線、9號線宣靖陵站3號出口","歷史傳統公園王陵古蹟探訪江南宣靖陵","殘疾人士服務台(租借輪椅等)無障礙停車場無障礙坡道無障礙廁所"
"1790","zh-CN","岛山公园","135-120 首尔市江南区新寺洞 649-9号","135-120 首尔市江南区岛山大路45街20 ","+82-2-3423-6245","","","公园24小时开放，岛山纪念馆工作日10:00~16:00 周六/公休日 10:00~14:00","周一~周日","公园年中无休，岛山纪念馆每周日、春节及中秋节假日休息、圣诞节","3号线 狎鸥亭站2 3号出口步行10分钟  ","公园狎鸥亭站展览江南岛山公园纪念馆安昌浩","无障碍坡道残疾人洗手间"
"2050","zh-TW","德壽宮","100-120 首爾市中區貞洞 5-1","100-120 首爾市中區世宗大路99 ","+82-2-771-9951","+82-2-771-9953","http://www.deoksugung.go.kr/","09:00～20:00（售票及最後入場時間為20:00） 21:00 （離開時間）","週二～週日","每週一","1號線市廳站2號出口  ","德壽宮夜遊德壽宮貞洞石牆路首爾必去旅遊景點古宮首爾旅遊韓國古宮首爾行程高宗之路首爾步行好去處韓國傳統首爾夜景德壽宮旅遊韓國古宮旅遊韓國歷史首爾景點貞洞街","殘疾人士服務台(租借輪椅等)無障礙廁所"
"2046","zh-CN","德寿宫","100-120 首尔市中区贞洞美术馆路 5-1","100-120 首尔市中区世宗大路99 ","+82-2-771-9951","+82-2-771-9953","http://www.deoksugung.go.kr/eng/index.asp","09:00 ~ 20:00 （卖票、入场时间） 21:00（离开时间）","星期二至日","每星期一","1号线 市政府 2号出口  ","首尔必去旅游景点首尔步行好去处夜游德寿宫韩国古宫首尔夜景韩国历史首尔景点韩国传统贞洞街首尔旅游德寿宫旅游首尔行程高宗之路贞洞石墙路德寿宫古宫韩国古宫旅游","残疾人指南(轮椅租借及其他)残疾人洗手间"
"875","zh-CN","战争纪念馆","140-021 首尔市龙山区龙山洞1街 8 ","04353 首尔市龙山区黎泰院路29 ","+82-2-709-3139","+82-2-709-3100","https://www.warmemo.or.kr/front/main.do;jsessionid=BDE1B452FEB0FE808BE5865428DBDCDF","白天开放时间：周二至周日 09:30 ~ 18:00，闭馆前1小时以后禁止入场<br /> 夜间开放时间：每月最后一周的周六 9：30~20：00.","","每周一（如周一在假期内，则假期结束后第二天闭馆）","6号线 三角地站11，12号出口步行3分钟 4号线 三角地站1号出口步行5分钟  1号线 南营站1号出口步行10分钟  ","战争纪念馆梨泰院历史文化625战争朝鲜战争","无障碍坡道残疾人专用停车场残疾人指南(轮椅租借及其他)残疾人洗手间电梯"
"871","ja","戦争記念館 ","140-021 ソウル市龍山区龍山洞1街8 ","04353 ソウル市ヨンサン(龍山)区イテウォンロ29 (龍山洞1街)","+82-2-709-3114","+82-2-709-3100","https://www.warmemo.or.kr/LNG/main.do?lan=jp","9:30-18:00 夜間開館：毎月最終週土曜日は9：30～20：00","","月曜日(月曜日を含む連休の場合は連休最終日の翌日が休館)","地下鉄4号線「サムガクチ」駅1番出口から徒歩5分 地下鉄6号線「サムガクチ」駅11番、12番出口から徒歩3分  地下鉄1号線「ナミョン」駅1番出口から徒歩10分   ","ソウル子供と一緒に戦争記念館子供博物館戦争記念館龍山戦争記念館朝鮮戦争ソウル子供連れの場所ソウル博物館おすすめソウルがおすすめソウル戦争史博物館龍山子供博物館","アクセシビリティエレベーターバリアフリートイレ体の不自由な方のための専用駐車場体の不自由な方のための案内所(車椅子レンタルなど)"
"878","zh-TW","戰爭紀念館","140-021 首爾市龍山區龍山洞1街 8 ","04353 首爾市龍山區黎泰院路29 ","+82-2-709-3139","","https://www.warmemo.or.kr/front/main.do","週二至週日09:30 ~ 18:00 閉館前１小時為止皆可入館 夜間開放：每月最後一的星期六延長開放至20:00","","星期一 (如果較長的假期包含星期一時，則在長假後休息一天)","4、6號線三角地站1、11、12號出口出步行5分鐘  1號線南營站1號出步行10分鐘 ","戰爭紀念館紀念館歷史博物館","殘疾人士服務台(租借輪椅等)無障礙停車場無障礙坡道無障礙廁所電梯"
"802","zh-CN","文化站首尔284 ","100-162 首尔市中区统一路1  ","04509 首尔特别市中区蓬莱洞二街122-25号统一路1番地（统一路1号首尔站（主楼）） ","+82-2-3407-3500","","http://www.seoul284.org ","11:00 ~ 19:00（18:30后停止入场）","周二~周日","元旦、周一、周一为法定节假日时第二天闭馆","14号线 首尔站   ","展览火车站文化站首尔284光华门首尔站文化博物馆","无障碍坡道残疾人指南(轮椅租借及其他)残疾人洗手间电梯"
"808","zh-TW","文化站首爾284(舊首爾站)","100-162 首爾市中區蓬萊洞2街122-28 ","04509 首爾市中區統一路1 ","+82-2-3407-3500","","https://en.seoul284.org/","11:00~19:00 ※ 最後入場時間18:30","週二~週日","週一","1、4號線首爾站2號出口","歷史文化站首爾284遺址舊首爾站美術館首爾站光化門文化展覽","殘疾人士服務台(租借輪椅等)無障礙坡道無障礙廁所電梯"
"800","ja","文化駅ソウル284(旧ソウル駅舎)","100-162 ソウル市中区蓬萊洞2街122-25 ","04509 ソウル市チュン(中)区トンイルロ1  (蓬萊洞2街)ソウル駅(本屋)","+82-2-3407-3500","","http://www.seoul284.org ","11:00-19:00（入場は18:30まで）","","月曜日","地下鉄1号線/4号線「ソウル」駅2番出口","文化駅ソウル284芸術旧ソウル駅舎アート遺跡地・文化財","アクセシビリティエレベーターバリアフリートイレ体の不自由な方のための案内所(車椅子レンタルなど)"
"300","zh-CN","昌庆宫","110-360 首尔市钟路区卧龙洞 2-1","03072 首尔市钟路区昌庆宫路185 ","+82-2-762-4868","","http://chn.cha.go.kr/public/html/HtmlPage.do?pg=/chn/02/palace04_introduce.jsp&pageNo=2240000&siteCd=CHN","09:00 ~ 21:00（最后入场 20:00）","周二至日","每周一","4号线 惠化站4号出口","首尔约会首尔夜景首尔晚上约会夜游宫殿首尔晚上散步首尔宫殿首尔旅行韩国传统文化韩国历史景点传统昌庆宫首尔好去处","残疾人专用停车场残疾人指南(轮椅租借及其他)残疾人洗手间"
"37211","zh-CN","昌庆宫大温室"," 首尔钟路区和龙洞2-1 ","03072 首尔钟路区昌庆宫路185（瓦龙洞，昌庆宫） ","+82-2-762-9514","","http://cgg.cha.go.kr/agapp/main/index.do?siteCd=CGG","9:00 ~ 18:00","周二 ～周日","每周  周一","惠化站4号出口700米","历史遗址昌庆宫宫殿温室惠化站花园大皇宫","残疾人指南(轮椅租借及其他)"
"303","zh-CN","昌德宫","110-360 首尔市钟路区卧龙洞2-71 ","03072 首尔市钟路区栗谷路99 ","+82-2-762-8261","+82-2-762-2070","http://www.cdg.go.kr","2~5月 09:00~18:00 （最后入场时间 17:00） 6~8月 09:00~18:30（最后入场时间 17:30） 9~10月 09:00~18:00（最后入场时间 17:00） 11~1月 09:00~17:30（最后入场时间 16:30）","","每周一","135号线 钟路3街站6号出口出来后步行10分钟   ","首尔韩服旅游首尔首尔景点昌德宫首尔行程韩国文化世界文化遗产首尔约会地点首尔旅游韩国传统古宫旅游首尔必去景点","残疾人专用停车场残疾人指南(轮椅租借及其他)残疾人洗手间"
"304","zh-TW","昌德宮","110-360 首爾市鍾路區臥龍洞2-71 ","03072 首爾市鍾路區栗谷路99 ","+82-2-762-8261","+82-2-762-2070","http://www.cdg.go.kr","2~5月 09:00~18:00 （最後入場時間 17:00） 6~8月 09:00~18:30（最後入場時間 17:30） 9~10月 09:00~18:00（最後入場時間 17:00） 11~1月 09:00~17:30（最後入場時間 16:30）","","每週一","3號線安國站3號出口步行5分鐘    5號線鍾路3街站6號出口步行10分鐘","韓國傳統世界文化遺產首爾景點古宮旅遊首爾首爾必去景點昌德宮首爾旅遊首爾約會地點首爾行程韓國文化首爾韓服旅遊","殘疾人士服務台(租借輪椅等)無障礙停車場無障礙廁所"
"301","zh-TW","昌慶宮","110-360 首爾市鍾路區臥龍洞 2-1","03072 首爾市鍾路區昌慶宮路185 ","+82-2-762-4868","","http://chn.cha.go.kr/public/html/HtmlPage.do?pg=/chn/02/palace04_introduce.jsp&pageNo=2240000&siteCd=CHN","09:00~21:00 (最後入場20:00)","週二～週日","每週一","4號線惠化站4號出口","首爾約會傳統韓國歷史景點首爾夜景首爾宮殿韓國傳統文化昌慶宮首爾好去處首爾旅行夜遊宮殿首爾晚上散步首爾晚上約會","殘疾人士服務台(租借輪椅等)無障礙停車場無障礙廁所"
"37223","zh-TW","昌慶宮大溫室"," 首爾鐘路區和龍洞2-1 ","03072 首爾鐘路區昌慶宮路185（瓦龍洞，昌慶宮） ","+82-2-762-9514","","http://cgg.cha.go.kr/agapp/main/index.do?siteCd=CGG","9:00 ~ 18:00","週二～週日","每週一","惠化站4號出口700米","首爾值得一去的地方昌慶宮大溫室昌慶宮約會昌慶宮昌慶宮拍照區","殘疾人士服務台(租借輪椅等)"
"4039","zh-CN","明洞天主教堂","100-022 首尔市中区明洞2街1-1 ","100-022 首尔市中区明洞街74 ","+82-2-774-1784","","http://www.mdsd.or.kr","","","每周一","4号线 明洞 5 8号出口出來，步行10分鐘 2号线 乙支路入口 9号出口出来后步行10分钟 2号线 乙支路3街 12号出口出来后步行10分钟","明洞天主教堂（명동성당）宗教圣地天主教","无障碍坡道残疾人专用停车场残疾人洗手间电梯"
"11470","zh-CN","明洞旅游信息中心"," 首尔市中区乙支路2街 181号外换银行别馆"," 首尔市中区乙支路66 ","+82-2-778-0333","","http://www.facebook.com/MyeongdongTouristInformationCenter","明洞旅游信息中心 / 纪念品贩售区 - 09:00~18:00","","周日、春节及中秋节当天","2号线 乙支路入口 5 6号出口","多元文化空间明洞首尔明洞旅游信息中心首尔旅游资讯中心旅游资讯中心文化","无障碍坡道"
"11471","zh-TW","明洞旅遊資訊中心"," 首爾市中區乙支路2街 181外換銀行別館","04538 首爾市中區乙支路66 ","+82-2-778-0333","","http://www.facebook.com/MyeongdongTouristInformationCenter","明洞旅遊資訊中心 / 紀念品販售區 - 09:00~18:00","","週日、春節及中秋節當天","2號線乙支路入口站5、6號出口","明洞旅遊資訊中心旅遊資訊中心首爾旅遊資訊中心旅遊諮詢中心明洞首爾","無障礙坡道"
"4040","zh-TW","明洞聖堂 (明洞天主教堂)","100-022 首爾市中區明洞2街1-1 ","100-022 首爾市中區明洞街74 ","+82-2-774-1784","","http://www.mdsd.or.kr","","","","4號線明洞站5 8號出口步行10分鐘 2號線乙支路入口站5號出口步行15~20分鐘 2號線乙支路3街站12號出口步行10分鐘","哥德式建築明洞明洞聖堂明洞天主教堂明洞聖堂歷史天主教","無障礙停車場無障礙坡道無障礙廁所電梯"
"77","zh-CN","景福宫","110-820 首尔市钟路区世宗路 1-1 ","03045 首尔市钟路区三清路37 ","+82-2-3700-3900","+82-2-3700-3909","http://www.royalpalace.go.kr:8080/html/eng_gbg/main/main.jsp","1~2月 09:00 ~ 17:00 (16点以后禁止入场) 3~5月 09:00 ~ 18:00 (17点以后禁止入场) 6~8月 09:00 ~ 18:30 (17点30分以后禁止入场) 9~10月 09:00 ~ 18:00 (17点以后禁止入场) 11~12月 09:00 ~ 17:00 (16点以后禁止入场) ※售票至参观结束前1小时止","","每周周二","5号线 光化门站2号出口出来后步行10分钟 3号线 景福宫站5号出口出来后步行5分钟 ","首尔约会韩国传统文化景福宫景福宫介绍首尔旅游韩国历史文化古迹景福宫入场费韩国文化首尔古宫首尔景点首尔行程","无障碍坡道残疾人专用停车场残疾人指南(轮椅租借及其他)残疾人洗手间"
